left,bottom,right,top,gid,CCTV,경사도,공원,관공서,주차장,주택가,POP,sum,rank
129.028,35.15,129.029,35.151,404,0.3333333333333333,0.14565826330532214,0.0,0.0,0.0,0.5294117647058824,0.11266987740383456,1.1210732387483724,89
129.028,35.15,129.029,35.151,1159,0.3333333333333333,0.14565826330532214,0.0,0.0,0.0,0.5294117647058824,0.10800322037902126,1.116406581723559,90
129.036,35.15,129.037,35.151,925,0.0,0.22969187675070027,0.0,0.0,0.0,0.6764705882352942,0.20707326362273354,1.113235728608728,91
129.023,35.15,129.024,35.151,451,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.4852941176470588,0.14893288787970824,1.1104174817172432,92
129.061,35.147,129.062,35.148,714,0.0,0.04481792717086835,0.0,1.0,0.0,0.058823529411764705,0.0041267132368183815,1.1077681698194515,93
129.069,35.16,129.07,35.161,371,0.0,0.11484593837535013,0.0,0.0,0.0,0.7794117647058824,0.20218966489738657,1.096447367978619,94
129.067,35.152,129.068,35.153,1069,0.0,0.288515406162465,0.0,0.0,0.0,0.6323529411764706,0.17327856760626528,1.094146914945201,95
129.024,35.149,129.025,35.15,1372,0.3333333333333333,0.15966386554621848,0.0,0.0,0.0,0.5441176470588235,0.05639037935872033,1.0935052252970956,96
129.045,35.157,129.046,35.158,1310,0.0,0.39215686274509803,0.0,0.0,0.0,0.5588235294117647,0.1418654093689889,1.0928458015258515,97
129.048,35.163,129.049,35.164,737,0.0,0.0196078431372549,0.0,1.0,0.0,0.044117647058823525,0.014260301115080339,1.0779857913111588,98
129.033,35.152,129.034,35.153,1217,0.0,0.21568627450980393,0.0,0.0,0.0,0.7352941176470588,0.12469808946675731,1.07567848162362,99
129.052,35.167,129.053,35.168,101,0.0,0.29971988795518206,0.0,0.0,0.0,0.5294117647058824,0.24424260831417013,1.0733742609752346,100
129.058,35.142,129.059,35.143,563,0.0,0.40896358543417366,0.0,0.0,0.0,0.5294117647058824,0.13428209170366728,1.0726574418437234,101
129.047,35.158,129.048,35.159,1487,0.0,0.24089635854341737,0.0,0.0,0.0,0.7205882352941176,0.10988820271032497,1.07137279654786,102
129.062,35.17,129.063,35.171,267,0.0,0.16526610644257703,0.0,0.0,0.0,0.7058823529411764,0.19491488653949063,1.066063345923244,103
129.027,35.15,129.028,35.151,172,0.3333333333333333,0.18487394957983194,0.0,0.0,0.0,0.5,0.04655086800784847,1.0647581509210138,104
129.078,35.174,129.079,35.175,1544,0.0,0.13165266106442577,0.0,0.0,0.25,0.6176470588235294,0.06304807910176494,1.06234779898972,105
129.047,35.181,129.048,35.182,1989,0.0,0.04481792717086835,0.0,1.0,0.0,0.014705882352941176,0.0,1.0595238095238095,106
129.042,35.155,129.043,35.156,1170,0.3333333333333333,0.0784313725490196,0.0,0.0,0.0,0.4852941176470588,0.16064773970852678,1.0577065632379385,107
129.044,35.176,129.045,35.177,181,0.0,0.07563025210084033,0.0,0.0,0.0,0.8676470588235294,0.11438612730138988,1.0576634382257597,108
129.044,35.176,129.045,35.177,1527,0.0,0.07563025210084033,0.0,0.0,0.0,0.8676470588235294,0.11171533392148639,1.0549926448458562,109
129.053,35.173,129.054,35.174,437,0.0,0.24369747899159663,0.0,0.0,0.0,0.6617647058823529,0.14703826369504747,1.052500448568997,110
129.06,35.162,129.061,35.163,367,0.3333333333333333,0.3445378151260504,0.0,0.0,0.0,0.29411764705882354,0.07883179304725954,1.050820588565467,111
129.076,35.171,129.077,35.172,961,0.0,0.28291316526610644,0.0,0.0,0.0,0.5735294117647058,0.19316971108186415,1.0496122881126764,112
129.063,35.163,129.064,35.164,446,0.0,0.04201680672268908,0.0,1.0,0.0,0.0,0.0054090797333063365,1.0474258864559955,113
129.063,35.17,129.064,35.171,1480,0.0,0.10084033613445378,0.0,0.0,0.0,0.7647058823529411,0.1802351648033785,1.0457813832907734,114
129.023,35.15,129.024,35.151,403,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.4852941176470588,0.08214859060208553,1.0436331844396205,115
